pricing_id,route_id,fuel_surcharge_usd,port_charge_usd,demand_factor,risk_surcharge_usd,target_margin_percent
P00001,R00001,100.0,75.0,1.0,50.0,15.0
P00002,R00002,120.0,85.0,1.05,65.0,18.0
P00003,R00003,130.0,95.0,0.95,70.0,12.0
P00004,R00004,90.0,60.0,1.0,40.0,16.0
P00005,R00005,85.0,55.0,1.1,35.0,14.0
P00006,R00006,115.0,90.0,0.9,80.0,20.0
P00007,R00007,110.0,80.0,1.0,75.0,17.0
P00008,R00008,95.0,70.0,1.05,60.0,13.0
P00009,R00009,80.0,65.0,1.15,45.0,15.0
P00010,R00010,75.0,50.0,1.0,30.0,18.0
P00011,R00011,85.0,55.0,1.1,40.0,16.0
P00012,R00012,70.0,60.0,0.95,50.0,14.0
P00013,R00013,65.0,45.0,1.0,25.0,17.0
P00014,R00014,105.0,85.0,1.05,70.0,19.0
P00015,R00015,70.0,48.0,1.0,32.0,15.0
P00016,R00016,90.0,65.0,1.08,55.0,18.0
P00017,R00017,150.0,110.0,1.0,85.0,16.0
P00018,R00018,140.0,100.0,1.05,90.0,15.0
P00019,R00019,145.0,105.0,1.0,95.0,17.0
P00020,R00020,110.0,80.0,1.1,60.0,14.0
P00021,R00021,120.0,85.0,1.0,65.0,16.0
P00022,R00022,155.0,120.0,0.95,100.0,18.0
P00023,R00023,135.0,95.0,1.0,80.0,15.0
P00024,R00024,130.0,90.0,1.05,75.0,17.0
P00025,R00025,95.0,70.0,1.0,50.0,16.0
P00026,R00026,100.0,75.0,1.1,55.0,15.0
P00027,R00027,105.0,80.0,1.05,60.0,18.0
P00028,R00028,80.0,60.0,1.0,40.0,14.0
P00029,R00029,75.0,55.0,1.0,35.0,16.0
P00030,R00030,115.0,90.0,0.95,70.0,19.0
P00031,R00031,100.0,75.0,1.0,50.0,15.0
P00032,R00032,90.0,65.0,1.05,45.0,17.0
P00033,R00033,140.0,100.0,1.0,80.0,16.0
P00034,R00034,150.0,110.0,1.05,90.0,15.0
P00035,R00035,120.0,85.0,1.1,65.0,14.0
P00036,R00036,125.0,90.0,1.0,70.0,17.0
P00037,R00037,110.0,80.0,1.0,55.0,16.0
P00038,R00038,135.0,95.0,1.05,85.0,18.0
P00039,R00039,140.0,100.0,1.0,80.0,15.0
P00040,R00040,100.0,75.0,1.08,50.0,14.0
P00041,R00041,130.0,95.0,1.0,75.0,17.0
P00042,R00042,105.0,80.0,1.05,55.0,15.0
P00043,R00043,120.0,90.0,1.0,70.0,16.0
P00044,R00044,110.0,85.0,1.1,60.0,18.0
P00045,R00045,115.0,80.0,1.0,65.0,14.0
P00046,R00046,135.0,100.0,0.95,85.0,19.0
P00047,R00047,95.0,70.0,1.0,45.0,15.0
P00048,R00048,125.0,85.0,1.05,70.0,17.0
P00049,R00049,80.0,60.0,1.0,40.0,16.0
P00050,R00050,65.0,45.0,1.1,30.0,18.0
P00051,R00051,90.0,70.0,1.05,55.0,15.0
P00052,R00052,75.0,55.0,1.0,35.0,17.0
P00053,R00053,65.0,45.0,1.0,25.0,14.0
P00054,R00054,100.0,80.0,0.95,60.0,19.0
P00055,R00055,85.0,65.0,1.0,45.0,16.0
P00056,R00056,80.0,60.0,1.05,40.0,15.0
P00057,R00057,95.0,75.0,1.0,55.0,17.0
P00058,R00058,90.0,70.0,1.05,50.0,15.0
P00059,R00059,95.0,70.0,1.0,55.0,16.0
P00060,R00060,110.0,85.0,1.1,70.0,18.0
P00061,R00061,70.0,50.0,1.0,30.0,14.0
P00062,R00062,110.0,85.0,0.95,70.0,19.0
P00063,R00063,100.0,80.0,1.0,60.0,16.0
P00064,R00064,105.0,75.0,1.05,65.0,17.0
P00065,R00065,110.0,85.0,1.0,70.0,16.0
P00066,R00066,85.0,60.0,1.05,40.0,15.0
P00067,R00067,120.0,95.0,1.0,80.0,17.0
P00068,R00068,115.0,85.0,1.1,75.0,18.0
P00069,R00069,110.0,80.0,1.0,70.0,16.0
P00070,R00070,130.0,100.0,0.95,90.0,20.0
P00071,R00071,90.0,65.0,1.0,45.0,15.0
