route_id,route_number,origin,origin_country,origin_latitude,origin_longitude,destination,destination_country,destination_latitude,destination_longitude,cargo_type,route_name,route,route_sequence,intermediate_ports,transit_days,distance_nm,transshipments,freight_cost_usd,fuel_surcharge_usd,port_handling_usd,estimated_total_cost_usd,vessel_type,service_frequency,available_capacity_teu,route_availability,estimated_co2_kg,port_calls,weather_risk,congestion_level,route_score,cargo_subtype
R00001,1,Mumbai,India,19.076,72.8777,Kochi,India,9.9312,76.2673,Perishable,Economy Service,Mumbai → Gulf Hub → Kochi,Mumbai → Gulf Hub → Kochi,Gulf Hub,9,4547,1,2361.0,289.0,413.0,3063.0,Feeder + Mainline,Every 2 days,16623,Available,55907.0,3,Low,High,74.97,Fresh Fruits
R00002,2,Mumbai,India,19.076,72.8777,Kochi,India,9.9312,76.2673,Hazardous,Standard Service,Mumbai → Direct Atlantic → Kochi,Mumbai → Direct Atlantic → Kochi,Direct Atlantic,11,4682,1,2520.0,443.0,477.0,3440.0,Container Ship,3 sailings/week,14094,Available,55580.0,3,Moderate,Low,72.16,Corrosive Chemicals
R00003,3,Mumbai,India,19.076,72.8777,Kochi,India,9.9312,76.2673,Bulk,Priority Service,Mumbai → Mediterranean Hub → Kochi,Mumbai → Mediterranean Hub → Kochi,Mediterranean Hub,7,4811,3,2278.0,451.0,786.0,3515.0,Panamax Container Ship,Daily,18606,Limited,66437.0,5,Elevated,Moderate,62.02,Iron Ore
R00004,4,Mumbai,India,19.076,72.8777,Kochi,India,9.9312,76.2673,General Cargo,Express Service,Mumbai → Direct Ocean → Kochi,Mumbai → Direct Ocean → Kochi,Direct,8,4536,0,1741.0,330.0,337.0,2408.0,Post-Panamax Container Ship,3 sailings/week,23857,Available,58881.0,2,Moderate,Low,81.63,Household Goods
R00005,5,Mumbai,India,19.076,72.8777,Kochi,India,9.9312,76.2673,Containerized,Direct Ocean Service,Mumbai → Direct Ocean → Kochi,Mumbai → Direct Ocean → Kochi,Direct,9,4635,0,1771.0,299.0,283.0,2353.0,Large Container Ship,Every 2 days,14354,Available,66061.0,2,Moderate,High,76.44,Consumer Goods
R00006,6,Mumbai,India,19.076,72.8777,Kochi,India,9.9312,76.2673,Perishable,Low-Cost Service,Mumbai → Direct Atlantic → Kochi,Mumbai → Direct Atlantic → Kochi,Direct Atlantic,8,4674,3,2778.0,423.0,706.0,3907.0,Feeder + Mainline,Every 2 days,19311,Available,70291.0,5,Moderate,Moderate,65.62,Seafood
R00007,7,Mumbai,India,19.076,72.8777,Kochi,India,9.9312,76.2673,Hazardous,Green Corridor Service,Mumbai → European Hub → Kochi,Mumbai → European Hub → Kochi,European Hub,12,4626,1,2712.0,418.0,539.0,3669.0,Eco Container Ship,Weekly,20861,Available,62331.0,3,Low,High,71.62,Flammable Liquids
R00008,8,Mumbai,India,19.076,72.8777,Kochi,India,9.9312,76.2673,Bulk,Premium Reliability,Mumbai → Gulf Hub → Kochi,Mumbai → Gulf Hub → Kochi,Gulf Hub,9,4906,2,2067.0,312.0,692.0,3071.0,Post-Panamax Container Ship,Weekly,17238,Waitlist,70562.0,4,Low,High,61.7,Chemicals
R00009,9,Mumbai,India,19.076,72.8777,Singapore,Singapore,1.3521,103.8198,Containerized,Economy Service,Mumbai → Indian Ocean → Singapore,Mumbai → Indian Ocean → Singapore,Indian Ocean,7,3014,2,1577.0,310.0,607.0,2494.0,Feeder + Mainline,Every 2 days,25635,Limited,44808.0,4,Elevated,Moderate,68.63,Machinery
R00010,10,Mumbai,India,19.076,72.8777,Singapore,Singapore,1.3521,103.8198,Perishable,Standard Service,Mumbai → Direct Ocean → Singapore,Mumbai → Direct Ocean → Singapore,Direct,5,2929,0,1581.0,231.0,244.0,2056.0,Container Ship,Daily,20894,Limited,34362.0,2,Moderate,Low,86.69,Dairy Products
R00011,11,Mumbai,India,19.076,72.8777,Singapore,Singapore,1.3521,103.8198,Hazardous,Priority Service,Mumbai → Mediterranean Hub → Singapore,Mumbai → Mediterranean Hub → Singapore,Mediterranean Hub,6,3122,1,1787.0,233.0,511.0,2531.0,Panamax Container Ship,Every 2 days,17685,Available,47946.0,3,Elevated,Moderate,79.33,Explosives
R00012,12,Mumbai,India,19.076,72.8777,Singapore,Singapore,1.3521,103.8198,Bulk,Express Service,Mumbai → Cape Route → Singapore,Mumbai → Cape Route → Singapore,Cape Route,5,3095,1,1601.0,275.0,502.0,2378.0,Post-Panamax Container Ship,Weekly,12965,Available,35853.0,3,Low,Moderate,83.08,Coal
R00013,13,Mumbai,India,19.076,72.8777,Singapore,Singapore,1.3521,103.8198,General Cargo,Direct Ocean Service,Mumbai → Direct Ocean → Singapore,Mumbai → Direct Ocean → Singapore,Direct,8,3074,0,1448.0,181.0,257.0,1886.0,Large Container Ship,Daily,19827,Available,43577.0,2,Low,Moderate,83.49,Consumer Goods
R00014,14,Mumbai,India,19.076,72.8777,Singapore,Singapore,1.3521,103.8198,Containerized,Low-Cost Service,Mumbai → Malacca Strait → Singapore,Mumbai → Malacca Strait → Singapore,Malacca Strait,7,2985,4,2228.0,411.0,888.0,3527.0,Feeder + Mainline,Daily,12176,Available,39236.0,6,Moderate,Moderate,64.68,Textiles
R00015,15,Mumbai,India,19.076,72.8777,Singapore,Singapore,1.3521,103.8198,Perishable,Green Corridor Service,Mumbai → Direct Ocean → Singapore,Mumbai → Direct Ocean → Singapore,Direct,8,2985,0,1329.0,202.0,326.0,1857.0,Eco Container Ship,Daily,17147,Available,36001.0,2,Elevated,Moderate,79.47,Fresh Fruits
R00016,16,Mumbai,India,19.076,72.8777,Singapore,Singapore,1.3521,103.8198,Hazardous,Premium Reliability,Mumbai → Mediterranean Hub → Singapore,Mumbai → Mediterranean Hub → Singapore,Mediterranean Hub,3,3099,2,1972.0,245.0,678.0,2895.0,Post-Panamax Container Ship,Daily,12056,Limited,40676.0,4,Low,Low,78.87,Compressed Gases
R00017,17,Mumbai,India,19.076,72.8777,Rotterdam,Netherlands,51.9244,4.4777,Containerized,Economy Service,Mumbai → Cape Route → Rotterdam,Mumbai → Cape Route → Rotterdam,Cape Route,13,6746,2,3264.0,642.0,682.0,4588.0,Feeder + Mainline,Weekly,14072,Available,93208.0,4,Low,Low,65.89,Consumer Goods
R00018,18,Mumbai,India,19.076,72.8777,Rotterdam,Netherlands,51.9244,4.4777,Perishable,Standard Service,Mumbai → Mediterranean Hub → Rotterdam,Mumbai → Mediterranean Hub → Rotterdam,Mediterranean Hub,17,7176,2,3699.0,490.0,670.0,4859.0,Container Ship,Daily,15089,Available,107262.0,4,Low,High,56.15,Frozen Food
R00019,19,Mumbai,India,19.076,72.8777,Rotterdam,Netherlands,51.9244,4.4777,Hazardous,Priority Service,Mumbai → Gulf Hub → Rotterdam,Mumbai → Gulf Hub → Rotterdam,Gulf Hub,13,7301,1,3682.0,565.0,539.0,4786.0,Panamax Container Ship,3 sailings/week,17544,Available,90932.0,3,Elevated,Moderate,63.61,Flammable Liquids
R00020,20,Mumbai,India,19.076,72.8777,Rotterdam,Netherlands,51.9244,4.4777,Bulk,Express Service,Mumbai → Direct Ocean → Rotterdam,Mumbai → Direct Ocean → Rotterdam,Direct,13,7170,0,2327.0,365.0,384.0,3076.0,Post-Panamax Container Ship,Daily,11400,Available,86254.0,2,Elevated,Moderate,69.25,Liquefied Gas
R00021,21,Mumbai,India,19.076,72.8777,Rotterdam,Netherlands,51.9244,4.4777,General Cargo,Direct Ocean Service,Mumbai → Direct Ocean → Rotterdam,Mumbai → Direct Ocean → Rotterdam,Direct,14,6855,0,2491.0,386.0,379.0,3256.0,Large Container Ship,3 sailings/week,9256,Available,104381.0,2,Elevated,Moderate,67.4,Retail Products
R00022,22,Mumbai,India,19.076,72.8777,Rotterdam,Netherlands,51.9244,4.4777,Containerized,Low-Cost Service,Mumbai → Suez Canal → Rotterdam,Mumbai → Suez Canal → Rotterdam,Suez Canal,15,7320,3,3467.0,584.0,777.0,4828.0,Feeder + Mainline,Every 2 days,17650,Available,86882.0,5,Moderate,Low,55.38,Automotive Parts
R00023,23,Mumbai,India,19.076,72.8777,Rotterdam,Netherlands,51.9244,4.4777,Perishable,Green Corridor Service,Mumbai → Arabian Sea → Rotterdam,Mumbai → Arabian Sea → Rotterdam,Arabian Sea,16,7006,1,3374.0,554.0,499.0,4427.0,Eco Container Ship,Daily,12665,Available,95859.0,3,Elevated,Low,64.38,Fresh Vegetables
R00024,24,Mumbai,India,19.076,72.8777,Rotterdam,Netherlands,51.9244,4.4777,Hazardous,Premium Reliability,Mumbai → Direct Ocean → Rotterdam,Mumbai → Direct Ocean → Rotterdam,Direct,13,7193,0,3539.0,528.0,250.0,4317.0,Post-Panamax Container Ship,3 sailings/week,15883,Available,92896.0,2,Elevated,Low,71.57,Dangerous Goods
R00025,25,Mumbai,India,19.076,72.8777,Vancouver,Canada,49.2827,-123.1207,Containerized,Economy Service,Mumbai → Arabian Sea → Vancouver,Mumbai → Arabian Sea → Vancouver,Arabian Sea,8,3880,1,1845.0,337.0,495.0,2677.0,Feeder + Mainline,Every 2 days,17742,Available,50557.0,3,Elevated,Low,74.57,Electronics
R00026,26,Mumbai,India,19.076,72.8777,Vancouver,Canada,49.2827,-123.1207,Perishable,Standard Service,Mumbai → Suez Canal → Vancouver,Mumbai → Suez Canal → Vancouver,Suez Canal,8,3801,1,1957.0,270.0,558.0,2785.0,Container Ship,Every 2 days,22056,Available,49050.0,3,Low,Moderate,78.5,Meat
R00027,27,Mumbai,India,19.076,72.8777,Vancouver,Canada,49.2827,-123.1207,Hazardous,Priority Service,Mumbai → Direct Pacific → Vancouver,Mumbai → Direct Pacific → Vancouver,Direct Pacific,6,3881,1,2204.0,296.0,457.0,2957.0,Panamax Container Ship,Daily,12552,Available,56840.0,3,Moderate,High,76.35,Toxic Materials
R00028,28,Mumbai,India,19.076,72.8777,Vancouver,Canada,49.2827,-123.1207,Bulk,Express Service,Mumbai → Suez Canal → Vancouver,Mumbai → Suez Canal → Vancouver,Suez Canal,8,3989,1,1560.0,276.0,390.0,2226.0,Post-Panamax Container Ship,Every 2 days,20934,Available,55817.0,3,Elevated,Moderate,75.13,Chemicals
R00029,29,Mumbai,India,19.076,72.8777,Vancouver,Canada,49.2827,-123.1207,General Cargo,Direct Ocean Service,Mumbai → Direct Ocean → Vancouver,Mumbai → Direct Ocean → Vancouver,Direct,7,3752,0,1514.0,262.0,323.0,2099.0,Large Container Ship,Weekly,18688,Available,53127.0,2,Low,Moderate,84.46,Furniture
R00030,30,Mumbai,India,19.076,72.8777,Vancouver,Canada,49.2827,-123.1207,Containerized,Low-Cost Service,Mumbai → Cape Route → Vancouver,Mumbai → Cape Route → Vancouver,Cape Route,11,3955,3,2402.0,448.0,767.0,3617.0,Feeder + Mainline,3 sailings/week,15887,Available,55840.0,5,Elevated,High,58.37,Industrial Equipment
R00031,31,Mumbai,India,19.076,72.8777,Vancouver,Canada,49.2827,-123.1207,Perishable,Green Corridor Service,Mumbai → East Asia Hub → Vancouver,Mumbai → East Asia Hub → Vancouver,East Asia Hub,9,3882,1,1917.0,274.0,559.0,2750.0,Eco Container Ship,3 sailings/week,12060,Limited,49463.0,3,Low,High,73.46,Dairy Products
R00032,32,Mumbai,India,19.076,72.8777,Vancouver,Canada,49.2827,-123.1207,Hazardous,Premium Reliability,Mumbai → Direct Ocean → Vancouver,Mumbai → Direct Ocean → Vancouver,Direct,8,3812,0,2063.0,316.0,401.0,2780.0,Post-Panamax Container Ship,Every 2 days,21582,Available,53842.0,2,Low,Low,83.47,Corrosive Chemicals
R00033,33,Mumbai,India,19.076,72.8777,Busan,South Korea,35.1796,129.0756,Perishable,Economy Service,Mumbai → Direct Atlantic → Busan,Mumbai → Direct Atlantic → Busan,Direct Atlantic,10,5643,3,3297.0,461.0,721.0,4479.0,Feeder + Mainline,Weekly,13369,Limited,87193.0,5,Elevated,High,54.82,Meat
R00034,34,Mumbai,India,19.076,72.8777,Busan,South Korea,35.1796,129.0756,Hazardous,Standard Service,Mumbai → Mediterranean Hub → Busan,Mumbai → Mediterranean Hub → Busan,Mediterranean Hub,11,6014,2,3488.0,669.0,661.0,4818.0,Container Ship,Weekly,17493,Limited,87583.0,4,Elevated,Moderate,59.83,Compressed Gases
R00035,35,Mumbai,India,19.076,72.8777,Busan,South Korea,35.1796,129.0756,Bulk,Priority Service,Mumbai → Malacca Strait → Busan,Mumbai → Malacca Strait → Busan,Malacca Strait,10,5884,2,2480.0,364.0,678.0,3522.0,Panamax Container Ship,Daily,13534,Available,71262.0,4,Moderate,High,63.41,Cement
R00036,36,Mumbai,India,19.076,72.8777,Busan,South Korea,35.1796,129.0756,General Cargo,Express Service,Mumbai → Direct Atlantic → Busan,Mumbai → Direct Atlantic → Busan,Direct Atlantic,10,5806,2,2579.0,481.0,639.0,3699.0,Post-Panamax Container Ship,Daily,21464,Available,84268.0,4,Moderate,Moderate,67.98,Paper Products
R00037,37,Mumbai,India,19.076,72.8777,Busan,South Korea,35.1796,129.0756,Containerized,Direct Ocean Service,Mumbai → Direct Ocean → Busan,Mumbai → Direct Ocean → Busan,Direct,13,6069,0,2526.0,465.0,296.0,3287.0,Large Container Ship,Weekly,16190,Available,79233.0,2,Moderate,Low,75.67,Electronics
R00038,38,Mumbai,India,19.076,72.8777,Busan,South Korea,35.1796,129.0756,Perishable,Low-Cost Service,Mumbai → Gulf Hub → Busan,Mumbai → Gulf Hub → Busan,Gulf Hub,12,6016,3,3438.0,420.0,790.0,4648.0,Feeder + Mainline,Daily,11750,Available,73557.0,5,Low,Moderate,59.7,Dairy Products
R00039,39,Mumbai,India,19.076,72.8777,Busan,South Korea,35.1796,129.0756,Hazardous,Green Corridor Service,Mumbai → Suez Canal → Busan,Mumbai → Suez Canal → Busan,Suez Canal,12,5820,2,3386.0,475.0,560.0,4421.0,Eco Container Ship,Weekly,9635,Limited,72150.0,4,Low,Moderate,61.24,Toxic Materials
R00040,40,Mumbai,India,19.076,72.8777,Busan,South Korea,35.1796,129.0756,Bulk,Premium Reliability,Mumbai → Malacca Strait → Busan,Mumbai → Malacca Strait → Busan,Malacca Strait,12,6125,1,2216.0,376.0,451.0,3043.0,Post-Panamax Container Ship,Every 2 days,24517,Available,81831.0,3,Elevated,Low,68.2,Liquefied Gas
R00041,41,Mumbai,India,19.076,72.8777,Santos,Brazil,-23.9608,-46.3336,Hazardous,Economy Service,Mumbai → Cape Route → Santos,Mumbai → Cape Route → Santos,Cape Route,9,4952,3,3349.0,455.0,841.0,4645.0,Feeder + Mainline,Every 2 days,12339,Available,68841.0,5,Moderate,High,59.77,Explosives
R00042,42,Mumbai,India,19.076,72.8777,Santos,Brazil,-23.9608,-46.3336,Bulk,Standard Service,Mumbai → East Asia Hub → Santos,Mumbai → East Asia Hub → Santos,East Asia Hub,9,5127,2,2293.0,288.0,705.0,3286.0,Container Ship,3 sailings/week,9414,Limited,67851.0,4,Moderate,Low,67.09,Coal
R00043,43,Mumbai,India,19.076,72.8777,Santos,Brazil,-23.9608,-46.3336,General Cargo,Priority Service,Mumbai → Arabian Sea → Santos,Mumbai → Arabian Sea → Santos,Arabian Sea,8,5109,3,2714.0,535.0,759.0,4008.0,Panamax Container Ship,Weekly,24232,Available,64238.0,5,Elevated,High,61.93,Consumer Goods
R00044,44,Mumbai,India,19.076,72.8777,Santos,Brazil,-23.9608,-46.3336,Containerized,Express Service,Mumbai → Indian Ocean → Santos,Mumbai → Indian Ocean → Santos,Indian Ocean,9,5104,1,2403.0,406.0,487.0,3296.0,Post-Panamax Container Ship,3 sailings/week,9940,Available,68650.0,3,Moderate,Low,75.08,Textiles
R00045,45,Mumbai,India,19.076,72.8777,Santos,Brazil,-23.9608,-46.3336,Perishable,Direct Ocean Service,Mumbai → Direct Ocean → Santos,Mumbai → Direct Ocean → Santos,Direct,11,4901,0,2439.0,464.0,382.0,3285.0,Large Container Ship,Daily,25928,Limited,70478.0,2,Low,Low,77.54,Dairy Products
